Generation,Rep,MeanMale,MeanFemale,MeanRSC,MeanCount,cor
1,1,0.6163013485502741,-1.1721841524626315,3.82,-0.2042487477928914,0.1502115520517611
2,1,0.8991306608402343,-0.2821243843374853,3.88,-0.4116846157516936,-0.06497823099225097
3,1,-0.9343509032542786,-4.474903977178942,4.54,-0.7195761218578953,0.24129324342809907
4,1,-2.005018842844349,-4.7610420901150325,4.22,1.1635782589378558,0.0383612886913457
5,1,-3.944419341834141,-5.595027766544807,4.88,-0.19212624374587214,-0.23884341397585931
6,1,-4.101130886485313,-5.938092552498965,5.12,0.9682154542702895,0.07458818983253941
7,1,-5.381952568472834,-8.516746987252542,5.64,1.7987646879600299,-0.14534871475630842
8,1,-5.484166569787371,-8.516182580357889,5.86,1.9531967473348533,-0.08471640344609452
9,1,-7.798001608958316,-7.290795672534187,5.76,0.9333857496909889,0.07799948412873747
10,1,-7.438969271702162,-8.012250270351787,5.74,0.1139912559427236,-0.19531437630303622
11,1,-7.65800031102903,-7.351738865559818,5.78,1.6858803992498854,-0.0435472896546772
12,1,-6.773151303464186,-9.020994833255527,5.78,1.144953689695059,-0.14163862053516363
13,1,-5.074900899650117,-9.177889087064356,5.3,1.5007299359869446,0.13668525390287578
14,1,-8.77449326532957,-9.97996236190626,5.54,-0.6693915609706333,-0.05479880123814805
15,1,-9.881894854544672,-10.22471203872394,5.98,0.3929458369166494,0.36619068972841673
16,1,-10.31432239045006,-11.605975017362125,5.36,1.777241084446285,-0.28400330909251825
17,1,-11.603411168868874,-11.62009587016359,5.3,1.4334467863656204,-0.04898537964763896
18,1,-9.936551122497297,-12.7176481418963,4.86,0.9508048671402313,0.21909709286464582
19,1,-10.697911347553134,-12.26166611575623,5.14,2.299405173386294,-0.10777149976231713
20,1,-12.835915178643951,-13.397633058140405,4.38,2.934844169375791,0.005929261706923073
21,1,-12.734729277012798,-13.459276100358993,4.22,2.2715920325728933,-0.026496147708362273
22,1,-14.940945957940823,-12.713348845779963,4.28,2.2396670265204186,0.11194588464980514
23,1,-13.880656253840943,-12.67389942649315,4.04,1.4215040639789083,-0.1179818150130861
24,1,-15.950518159899648,-10.988827563485028,3.72,2.3247869142530173,0.030432088617949538
25,1,-13.261454888049968,-8.84866535873341,4.44,1.6134582402353583,0.16894349757901922
26,1,-10.06553103301952,-10.665121289021428,4.92,5.399083265741722,-0.04357631907056377
27,1,-10.613864394025343,-8.998169330050837,5.38,3.8521405089755056,0.1717135150420932
28,1,-11.506947965246354,-9.050439951677799,5.3,5.514851779864745,-0.06324680376733935
29,1,-10.179707760366915,-8.477569506548363,4.9,5.773463825796525,-0.03356515006422016
30,1,-9.269783716023522,-7.883583068551972,5.26,4.632147592350966,6.352535062467147e-5
