MeanMale,MeanFemale,SDMale,SDFemale,cor,MeanCount,SDCount,is,int,BMale,GMale,BFemale,GFemale,BSperm,GSperm,GMF,GMS,GFS,a,MeanRSC,Generation,MeanMates,population,males,females,offspring,offspring_desired,offspring_realized,offspring_dropped,Rep,TotalOffspringBorn
48.950160357068604,50.596882391954715,9.995569586617815,10.736359118723197,-0.1229548824795465,50.171531267701184,10.527512350132753,1.6846031150309633,1.0907214954388091,0.04095695704489545,-0.23682564567663353,0.15435797327341902,-0.01274119089066705,-0.3126920509092637,0.10874917832967268,0.15118887803522718,-0.03924357127392083,0.10644353045939854,1.0,3.88,1.0,3.3,400.0,200.0,200.0,584.0,584.0,584.0,0.0,1.0,584.0
48.37317699473529,49.97309824685608,9.967989990092786,10.600079377218355,0.08376388623718696,49.26112881129338,10.452501393527847,1.338212086118552,1.2551993001359814,0.04290010998141504,-0.3858984216688117,0.004493231367754622,-0.10377155769807254,-0.17040069073721645,-0.012510955111990876,-0.00034360457603729773,-0.048860470425746365,0.059220845911906655,1.0,4.178219208162934,2.0,3.4601941747572815,984.0,469.0,515.0,1599.0,1599.0,1599.0,0.0,1.0,2183.0
49.78474902466373,50.2029797308907,9.684170712570147,10.49073543003371,0.007359338205154008,48.42926739351725,9.985051631039623,1.3249716957503774,1.1610355845651703,-0.07506065267986187,-0.35375793849136855,0.0020439563012041215,-0.10754857026055015,-0.22999340190014247,0.130963907558954,-0.041226081157107526,-0.051096421536313046,0.15931904192216192,1.0,4.448972053868845,3.0,3.592,1000.0,500.0,500.0,1627.0,1627.0,1627.0,0.0,1.0,3810.0
50.1500752656772,50.371140524765245,9.72849062999872,10.233634349203552,0.08212988539886269,47.37684251283998,9.837264451274882,1.3043316106345564,1.1481643659843552,-0.052552322715703606,-0.4259692738827032,0.006060401563955292,0.08184676079153488,-0.2040333918369441,0.029699437461376505,0.09414827765071979,-0.044719385728190945,-0.08759118891485823,1.0,4.70180142349679,4.0,3.644,1000.0,500.0,500.0,1644.0,1644.0,1644.0,0.0,1.0,5454.0
49.51879325590625,50.16845907515495,9.475383912220583,10.232892288423486,-0.008766905452017644,46.663988262040334,10.243565341497249,1.2490254330611417,1.2035084662497153,0.001133038608749231,-0.2662029614249218,0.02631885290257816,-0.062213428498059845,-0.17855755146646773,-0.07044313969134812,-0.004750527383690897,-0.06680595615206224,0.02578693549419225,1.0,5.002654258536254,5.0,3.836,1000.0,500.0,500.0,1761.0,1761.0,1761.0,0.0,1.0,7215.0
49.121028368524044,50.74120383256953,10.018133564647957,10.944435265830258,-0.021111651977105576,47.20227911048554,10.148389915162564,1.3706549882991481,1.1992431358104774,0.009703224217100128,-0.28742444675436646,-0.026857783884959466,-0.02947678786295988,-0.24236739286085876,-0.08676258582621726,-0.01685193742870403,-0.0002954825306121132,0.06511191766234922,1.0,5.218894532397089,6.0,3.84,1000.0,500.0,500.0,1756.0,1756.0,1756.0,0.0,1.0,8971.0
48.9646856063378,50.49935452647719,10.067474205119973,11.188621902917225,0.05817332939608944,45.735910396137015,10.37992421075092,1.150406080799667,1.2883602210989338,0.014463989624998126,-0.4013163728344402,0.03823868245598902,-0.013828101848941144,-0.126194999037202,-0.1817081512065336,0.03568771097375888,-0.10635436471734344,-0.0075943372505356335,1.0,5.4340748887911845,7.0,4.142,1000.0,500.0,500.0,1960.0,1960.0,1960.0,0.0,1.0,10931.0
48.78853806745056,49.92401100524667,9.936395050553642,11.345136910654004,0.06318546939601997,45.41373981570061,10.390964033083453,1.1673855931169734,1.1749647471916902,0.04611568575107789,-0.23280427414695312,-0.0876506598535006,-0.10626749814751855,-0.2425153578224305,-0.017621884115882693,0.0552998669046341,-0.040214986432784115,0.09003469585106182,1.0,5.72903424561921,8.0,4.13,1000.0,500.0,500.0,1942.0,1942.0,1942.0,0.0,1.0,12873.0
48.358509564496806,49.79880096164527,9.969023336846922,10.831410158652348,-0.0192833994220946,44.464509354103164,9.666206788793906,1.0944299046800234,1.248430284677046,0.04048957508437463,-0.36479164289774857,-0.041621067237382785,-0.08177741897390106,-0.1097398286088412,-0.0441522232831503,-0.047390205384707625,-0.05022336616419293,0.033057707212639446,1.0,5.862836307088801,9.0,4.09,1000.0,500.0,500.0,1922.0,1922.0,1922.0,0.0,1.0,14795.0
48.472424823559976,49.34598165745117,10.00189688340904,11.078495215669987,-0.033079158625169254,43.89265257675695,9.856162397222414,1.228,1.0729366885692146,0.0024692228902297103,-0.3320011021022685,-0.05405798704303754,0.10714477908039738,-0.14486826974309203,0.07584347702898249,0.05207171742843753,-0.07036811058026957,0.016804183848275638,1.0,6.175133261933164,10.0,4.232,1000.0,500.0,500.0,2000.0,2010.0,2000.0,10.0,1.0,16795.0
48.08429511572783,48.927194409524894,9.768807342981319,10.726547951071172,-0.05791643868855241,43.642935864933804,9.71869640010955,1.1405,1.1586077980911915,0.006482764237535803,-0.2598718712338313,-0.016611962476998414,-0.0641772266612515,-0.1453892411770371,-0.018736814383439798,-0.07601908999312551,-0.10150584388970608,-0.00014787782105321964,1.0,6.359838122913976,11.0,4.276,1000.0,500.0,500.0,2000.0,2040.0,2000.0,40.0,1.0,18795.0
49.15411754934344,49.34633813991976,9.940322350074153,11.125878126561895,-0.027301573010321226,42.53591789361847,9.707911021037509,1.16225,1.1751806747698477,-0.08311836419698335,-0.2854206225972167,-0.020521909176179153,0.007180721556201988,-0.15213657025097746,-0.07789771886418104,0.03046777506251585,-0.04317577261082928,0.012810532996315127,1.0,6.601342893724018,12.0,4.418,1000.0,500.0,500.0,2000.0,2129.0,2000.0,129.0,1.0,20795.0
48.91315546374875,49.673020394135385,10.03684132889046,10.721744547250804,0.05482940186741742,41.675030761692994,9.6175859544527,1.1525,1.1993648375907324,-0.01965610847590409,-0.3673706732024476,0.0016384217576762934,-0.00350400120995352,-0.14812828008954834,-0.03566236147911025,0.029281826597182304,-0.09068481749049,-0.01594600214155498,1.0,6.512090027117468,13.0,4.402,1000.0,500.0,500.0,2000.0,2122.0,2000.0,122.0,1.0,22795.0
