MeanMale,MeanFemale,SDMale,SDFemale,cor,MeanCount,SDCount,is,int,BMale,GMale,BFemale,GFemale,BSperm,GSperm,GMF,GMS,GFS,a,MeanRSC,Generation,MeanMates,population,males,females,offspring,Rep
50.071972363520636,49.68728028022436,9.901064480656274,8.409823986180276,-0.1423213480023489,49.86266128916856,10.482906184495999,1.05078125,1.2671941212304507,-0.2499154569405085,-0.5293621775386013,-0.02640432260513487,0.07314038547650496,-0.2582984667266381,-0.06718373993445867,-0.05687730565163484,-0.06754430165823457,-0.11397588171511965,1.0,4.53,1.0,3.98,200.0,100.0,100.0,192.0,1.0
49.55133290639041,48.813912076480605,10.1000747455128,8.971143721180386,0.013351893483927391,48.879227714483335,10.056763093221678,1.1523063284623523,1.190432783579882,-0.19177080342692737,-0.4280022139021882,-0.0059341314050660905,-0.10139660938494369,-0.19529953321864024,0.1532009499498296,0.080746757280566,-0.05989071113548377,-0.022183910889542694,1.0,4.498335295394319,2.0,4.423469387755102,392.0,196.0,196.0,374.0,1.0
49.114894748234846,48.66001675443714,9.816624691748531,9.14379642402053,0.15837117125038805,48.38870815310456,10.218138789903108,1.1561268530681181,1.1177008927191416,-0.10314987576994782,-0.44316045401828147,0.0021210122231213454,0.1195786822001957,-0.1521325637731442,0.10068356647318426,-0.007299826412254892,-0.07043905196477815,0.025907909897545038,1.0,4.512185342130916,3.0,4.349869451697128,766.0,383.0,383.0,730.0,1.0
48.74033708254605,48.67103858241965,9.486381089018836,9.319024987858786,0.11112644611411392,47.78975559859956,10.218143886269308,1.007928801290436,1.1687846548662661,-0.11970470728650262,-0.3727390302977426,0.03612928591547389,0.02621235835876399,-0.15777203154395683,0.006583143715066332,0.030901151793162288,-0.05409321972346456,-0.010447415278088306,1.0,4.479547262420565,4.0,4.502673796791444,1496.0,748.0,748.0,1412.0,1.0
48.756892543390954,48.660289382099,9.441086390664216,9.257848108671869,0.12637992161607145,47.24437804854866,10.275438679123111,1.145207068119505,1.1597992914418391,-0.101377203294857,-0.356215704656185,0.039082598942354344,0.034680657625750774,-0.2128837052849267,0.002302703406990673,0.0010413984958796833,-0.013045208495981979,-0.004847422637263196,1.0,4.508299661501832,5.0,4.506189821182944,2908.0,1454.0,1454.0,2732.0,1.0
48.5039600043599,48.7420427900029,9.446206484295548,9.5312852901798,0.13906770191613899,46.69065223003984,10.071243580100791,1.1244923083286433,1.1646253485388636,-0.0629064831340675,-0.35271426367363024,0.0024011225017640733,0.06543994042369443,-0.1951573259232514,-0.04538841167550436,0.014665412374263503,-0.0814342518716412,0.014570615134652546,1.0,4.570985508145971,6.0,4.540070921985816,5640.0,2820.0,2820.0,5314.0,1.0
48.409053966189866,48.735034072156715,9.487866240664335,9.648007556580199,-0.011693276283383378,46.269455312173136,9.996692346577419,1.0807862017314436,1.186111813370836,-0.045198775132999205,-0.29084179376509633,0.0006522844519420953,-0.0044341462316299885,-0.16771984063812867,-0.07708602993108839,0.006703892452078446,-0.04691569989124761,-0.002529658004180272,1.0,4.633260619112096,7.0,4.567,10000.0,5000.0,5000.0,9482.0,1.0
48.34349099279625,48.77016178384835,9.47235416259031,9.674956084903686,0.007946101890810303,45.87241932059586,9.783020364380935,1.0600555201486013,1.1601002622727798,-0.03996239734496176,-0.3063295477913488,-0.007652622604947367,-0.018037596512425952,-0.17544344425398561,0.0011232831650283223,-0.00312660128478174,-0.0373877785466442,-0.00997253367298193,1.0,4.612750590411837,8.0,4.683,10000.0,5000.0,5000.0,9512.0,1.0
48.46797118826099,48.39848439023012,9.695218758334535,9.83563372200738,-0.006074071734094783,45.48958357231079,9.82137839800392,1.0865128792661796,1.1381946232713724,-0.08049294015472039,-0.3033374046848234,-0.0036638680793887658,0.03456460280070003,-0.17492349753274686,-0.011401295909138572,-0.0014755207505390442,-0.05145565249717115,-0.0003891033521407769,1.0,4.663284239284695,9.0,4.7316,10000.0,5000.0,5000.0,9494.0,1.0
48.20028226248633,48.43127547165766,9.810032877149887,10.083599512551624,0.035424232610429957,45.11759095565346,9.762441996696705,1.0677797119469574,1.144256116324759,-0.06736134911937895,-0.2931965364977104,0.002408461404142268,-0.01804185612914535,-0.19044901617397741,0.021696831660671465,-0.025604417922201514,-0.05357807671755539,-0.011549108594577117,1.0,4.680075293052176,10.0,4.7012,10000.0,5000.0,5000.0,9526.0,1.0
