Generation,Rep,MeanMale,MeanFemale,MeanRSC,MeanCount,cor
1,1,-1.5432595443113817,-0.48169803848926646,4.28,0.24700897773802225,-0.1093268426709092
2,1,0.4077064612042251,-0.35947891129676507,3.5804355014698888,-2.2731578776818195,0.14434632962413668
3,1,0.6249236910694757,0.5512850695887294,2.9614394611091885,-0.23988153548557423,-0.031156685112123633
4,1,2.092741518997918,0.6348811133042315,2.9942509621877504,-0.6860386714632605,-0.03250139918485326
5,1,0.7722150403519206,0.4652277645144588,3.3324310293759867,-1.8065655531632865,0.2860860881199781
6,1,0.17929218084784712,0.5161884296681023,3.4281248556994526,-2.117683488425085,0.34671664483767795
7,1,0.3246612822628412,-0.050762542008087976,3.165925821332439,-1.5887605900790953,0.45902152065898766
8,1,-1.0560077422314016,0.554683266387783,3.0245542694097947,-2.7626722455761183,0.11297406863331744
9,1,-0.5838695515749318,0.030528264528113632,3.008129339646291,-2.4774804347314823,0.11933884568483073
10,1,-0.3487954793208809,-0.4069532008850414,2.737163908298024,-2.273659489902045,-0.13127749542470352
11,1,-1.1223998913429174,-1.743890942701589,2.9478340863239687,-2.676277512079904,-0.02992515425460106
12,1,-1.90335144585468,-1.3320994752445297,3.741980938320122,-2.99610051396162,0.20869660182058883
13,1,-0.6771463299673738,0.3182024496356113,3.4429493792731796,-2.644381682171189,0.10800310199488206
14,1,-0.8244289087759614,0.24069838494693704,3.7010595299437203,-1.7572031731360425,0.13242007654534438
15,1,0.07002311757175274,0.3066551946378193,3.557148076512898,-2.5343667469970823,0.10935393159073933
16,1,-0.14457688327119014,1.1925932230231413,3.3635180428990257,-2.237319043240104,0.12822567999212864
17,1,0.49429052825304703,2.965001103777812,3.7521083812515474,-2.192415496176947,0.16485747910016316
18,1,1.9233758985383762,2.5051295072590296,3.809274122923414,-3.6648772795565274,0.24027518752051968
19,1,1.5044002461380572,2.1873041998485623,4.118056101541409,-2.805355078180445,0.17496103867102847
20,1,2.454436967504149,2.160663159553358,4.154056223458403,-3.274123464192525,0.26562885561780225
21,1,2.48343594364796,0.7164733883113176,3.9835099124828592,-4.936237778637134,0.0807218492839127
22,1,2.0390328250602336,1.7663212819412144,3.9223769213817685,-4.3638583374371605,0.2208435653824561
23,1,1.3899824127448153,2.604693221249196,3.656979553772104,-4.5278627032553915,0.18736494304219697
24,1,1.3750073772567128,3.6716781069505453,3.929401258271206,-5.998621030044361,0.0032589131233406324
25,1,2.415368783659062,4.584890902727842,3.936559226917526,-5.208568905330137,0.20851978381550382
26,1,3.2023060930652587,4.3705559548192126,4.026908130615536,-5.832148188823781,0.34980397978074773
27,1,3.31845660098638,5.212570459374219,4.2710208850689435,-4.570796247316871,0.081265661965808
28,1,3.9364284089749497,4.952201579698582,4.048914570894054,-4.931202653734755,0.32509405985173295
29,1,4.4962751519832675,5.391802317522777,4.21349785469735,-5.908886057520824,0.21396135218450785
30,1,3.741707085380077,5.972046823234889,4.2442493299278965,-6.612088628234253,0.15450385492414842
