Generation,Rep,MeanMale,MeanFemale,MeanRSC,MeanCount,cor
1,1,1.4708746239679913,0.4518939651907953,3.5,-0.34130002758494654,0.1049146751632282
2,1,-0.1131756799611764,0.6342679070101892,3.4766019669295973,-1.905411231567964,0.0010664427801244203
3,1,-0.3084099646829189,-0.7581912408150047,3.718559065454896,-2.754954113900534,0.3454355893506744
4,1,-0.010229864935345745,0.6306680941930362,3.7354596697788294,-3.0937297522768663,0.1105425428294476
5,1,-0.4796881128034519,-0.08417598382807298,3.781203585665586,-2.928613303204581,0.27639875987841245
6,1,-0.0855963288667671,-1.0780739314395382,3.6637363146662363,-2.8558411842509166,0.27555954791466863
7,1,1.0352425753189434,-0.6955901279630449,3.4618954441413075,-3.1164830541529365,0.30277532328671286
8,1,0.038110718996109016,-0.7703257747943233,3.264306095285024,-3.8212837820720726,0.049502250302324205
9,1,0.04709098414685421,-1.2781767063153473,3.336121798325174,-4.363034958977206,0.2923006059876278
10,1,-1.7196166722702793,0.18166839244570668,3.508056005150495,-5.90367594932786,0.16233026329316666
11,1,-0.33270979793031147,-0.5928944016861345,3.989833653119244,-6.292275892370578,0.05187649905214823
12,1,-1.1677807486734395,-0.4273596002519814,3.9464259295547834,-6.381814387978636,0.027039471135973873
13,1,-1.5787036720124639,-1.1427653662123989,4.266312208711025,-7.700790816878923,0.10694264578676413
14,1,-1.1804785956858026,-0.3915001546332268,4.062453432675943,-7.472798692647482,0.37128334248017864
15,1,-1.279790387864725,-1.315275868950545,4.149750455472821,-6.32046449092238,0.23923136702316872
16,1,-1.1203601828552314,-1.601771577065036,3.717135974739877,-5.770200009886071,0.3182572164879952
17,1,-0.8394013418016004,-2.1925943643335013,3.7650396700741635,-5.494160290733266,0.19907120625263233
18,1,-1.0268944653318086,-1.1756774835935342,4.073379385523797,-6.353935588541597,0.056342834620884824
19,1,-1.4276024835092052,-1.672398551923775,3.925064437910503,-5.44422223658974,0.15651822381739575
20,1,-2.2254620255039326,-1.5788161697344107,3.5629933516245047,-6.868219000454028,-0.0017578767620643023
21,1,-1.261593945998109,-2.565755988695498,3.500949154288279,-7.3619457298662425,0.32703600181352066
22,1,-1.836258064629353,-2.467695074436227,3.495862157007873,-7.248927919742216,0.020071518047507286
23,1,-2.12158039455236,-1.7107698618211788,3.43445486847922,-7.350533527839719,0.17762946862943693
24,1,-2.0386964774549083,-2.377368200944164,3.6688005740047025,-7.771033289246214,0.21314424622682046
25,1,-2.2040296491813063,-2.5874654488065367,3.6442723236568066,-8.418764274207092,0.019977611699235318
26,1,-2.0560605101092535,-2.3356483126980088,3.9731916614157696,-8.76370861095737,0.07703469465142473
27,1,-2.3176441400532166,-1.9434140167061866,3.8993073256509065,-9.134136033842372,0.28860714533956267
28,1,-3.6965848205733853,-1.5549588039579532,4.045487936149177,-10.821831286858364,0.28480137269744027
29,1,-3.724615739311249,-1.1314198262704607,4.063753192017693,-11.286215189273435,0.18727721989381094
30,1,-2.7505388839733245,-0.3742563092747863,3.7470892060569825,-11.745704596114956,0.27642601502838904
