MeanMale,MeanFemale,SDMale,SDFemale,cor,MeanCount,SDCount,is,int,BMale,GMale,BFemale,GFemale,BSperm,GSperm,GMF,GMS,GFS,a,MeanRSC,Generation,MeanMates,population,males,females,offspring,offspring_desired,offspring_realized,offspring_dropped,Rep
50.002141272112205,50.00877582878509,9.999927574510444,9.807208539561183,0.01835112284453773,50.39254964639713,9.746530458151428,1.2219611640347257,1.1509277814758034,-0.07021866998953091,-0.3733735681456773,0.02681325827798406,0.0736862373956509,-0.2246631189666012,-0.003960420526691337,0.00695042152029513,-0.042382299821380615,0.003599987926043611,1.0,4.041,1.0,3.244,2000.0,1000.0,1000.0,1836.0,1836.0,1836.0,0.0,1.0
50.61119307116748,49.83756679248453,9.814891657748303,9.976118506534934,0.020838652125693788,49.97144677955261,9.734993394213484,1.1299974843483742,1.2565164598199166,-0.08807147969150082,-0.3973715125349555,-0.012647443995487284,-0.11000586905115915,-0.2637168597506854,-0.005390974831594806,0.029751148143230984,0.06770928428926894,0.027011987916180886,1.0,4.254148465982321,2.0,3.338,1000.0,500.0,500.0,918.0,918.0,918.0,0.0,1.0
50.4634904504893,48.76608310360012,9.786888162393995,10.260705435592497,-0.12114955082503004,48.936670109520854,10.186781209910386,1.021276595744681,1.1380875544803775,-0.160266144987165,-0.27641616104560257,0.012933303673798175,0.04088277147191267,-0.1622457244854144,-0.03034584087158662,0.032505746531598774,0.00819485214920891,0.011874302372162747,1.0,4.24245799537327,3.0,3.564,1000.0,500.0,500.0,940.0,940.0,940.0,0.0,1.0
50.07542077724564,48.707463836450415,9.757333975755563,10.055999535681249,0.06075845901033379,48.61044804885981,9.928896363112992,1.086662083828775,1.1228475069084662,-0.11696331958695354,-0.32079105997435947,0.006817386727897972,-0.018628537638360664,-0.1920164908560733,0.08150036927125241,0.03488006470983841,-0.05040432517534971,5.6096868371986534e-5,1.0,4.2741321351154955,4.0,3.358,1000.0,500.0,500.0,928.0,928.0,928.0,0.0,1.0
49.83518881284103,49.477693731100814,9.465406534349295,10.13634787637917,0.015752224140716548,47.62761216953909,9.73323630657922,1.0248922492512222,1.095747562495873,-0.05581302376307241,-0.1937886225211549,0.05977127830268649,0.04790936376275969,-0.2232787303421694,-0.05221237451294189,-0.0704684620975553,-0.05362834321112401,-0.06435196822223753,1.0,4.4343661415179865,5.0,3.518,1000.0,500.0,500.0,936.0,936.0,936.0,0.0,1.0
49.730437044940345,49.61567840768918,9.520322941458002,9.855166722478069,-0.029767708671508145,47.55214508283959,9.433767470980653,1.205408378072584,1.1455083891639768,-0.12235771616826284,-0.29960549227908867,0.10327163600696454,0.04352097679692738,-0.23903327027464671,-0.037877323479129414,-0.020328556517931452,-0.029269100481482572,-0.06571701376576122,1.0,4.482749888596052,6.0,3.484,1000.0,500.0,500.0,942.0,942.0,942.0,0.0,1.0
49.571680247213024,49.319244907771356,9.181753988761427,9.518709749465685,-0.01835897405411756,47.1394822725085,9.117556033849446,1.064998279168101,1.140061657981647,-0.1211316393999627,-0.32226477825491573,0.06545453129031781,0.015964354583911863,-0.13113149161144166,0.009793542106479659,0.012920881080854079,-0.07940706257093016,-0.035527309213232675,1.0,4.462791565016967,7.0,3.59,1000.0,500.0,500.0,946.0,946.0,946.0,0.0,1.0
49.383242093564455,48.8124216629314,9.49884971012148,10.204839549808483,-0.01078404319056,46.88273334206741,9.39068614154,1.0909098933691124,1.1474054999581091,-0.10963732302777117,-0.33294251735313835,-0.01717837586538647,0.03581915148690156,-0.16857263523541255,-0.0068388691053061935,0.05721521212668123,-0.07032230035930373,0.02459300946599687,1.0,4.63435330662952,8.0,3.59,1000.0,500.0,500.0,952.0,952.0,952.0,0.0,1.0
48.98135072778943,48.80164594748493,9.66320171318677,10.245968473077316,-0.05466970058971393,45.69935439169719,10.034978422130997,1.1747522263717325,1.1137132641413041,-0.08871333550894077,-0.2928351488346004,0.07518505007552441,-0.02699402072607639,-0.18067252411502915,0.07831057817753777,-0.06655721142467265,-0.05048976595985446,-0.011623342375698118,1.0,4.695056392770475,9.0,3.566,1000.0,500.0,500.0,944.0,944.0,944.0,0.0,1.0
49.019043041999815,49.145134820734036,10.104170542290477,10.656757092189688,0.06799777971716688,45.30828704088158,10.516512290202243,1.0332024354845033,1.09313855550191,-0.019452080169155138,-0.29463153972553807,-0.03346595385633538,0.07273346566418476,-0.17851559171733763,0.039693123088094494,-0.04205843817318571,-0.07482933055992236,-0.03688788351841009,1.0,4.760024807861466,10.0,3.64,1000.0,500.0,500.0,958.0,958.0,958.0,0.0,1.0
