Generation,MeanMale_mean,MeanMale_sd,MeanFemale_mean,MeanFemale_sd,MeanCount_mean,MeanCount_sd,BSperm_mean,BSperm_sd,MeanMates_mean,MeanMates_sd
1.0,50.167677126331725,0.14515552061910214,50.29436162229338,0.2920882020238305,50.264264602393226,0.20454842420912905,-0.23910666648891313,0.039249350307808545,3.2262,0.08324181641458825
2.0,50.167112171539415,0.2930248280444746,50.09394252157504,0.5487190846313734,49.873801405245004,0.1474778782794681,-0.2280866376120975,0.03583607769349932,3.2908,0.0548744020468561
3.0,49.81257034391409,0.45999625197934585,49.604764398274256,0.8113156886849593,49.13007358500185,0.308618846503809,-0.19483096537356298,0.03667511171421539,3.3520000000000003,0.16412190591142922
4.0,49.54840927268924,0.6155844135788463,49.77094808296384,0.7674621926635808,48.77355925597679,0.43977131535884123,-0.19790424810365445,0.05332282560321212,3.2912,0.09278577477178267
5.0,49.32055990449104,0.6954699171164654,49.88964281137653,0.5587299214906423,48.15484144770998,0.45721554006729,-0.20714351944132262,0.025622965429527952,3.3548,0.11607411425464324
6.0,49.23934938207627,0.6375734007888764,50.15507837018056,0.6441719119845477,47.90336704805748,0.597306192772722,-0.23660033934896268,0.09453675804638488,3.4215999999999993,0.05296036253652353
7.0,49.21973885795826,0.6123926184484035,50.38552171146559,0.776914701871891,47.56484108006337,0.5119170215833374,-0.19103870661203226,0.04603210292353553,3.4256,0.11267120306449202
8.0,49.00003641253843,0.38855311812797383,50.40279017387814,1.0383156908700726,47.099047367677315,0.2600712325685318,-0.1976390810761624,0.026510909767790875,3.4859999999999998,0.08540491789118462
9.0,49.00530604713574,0.6646156948622769,50.05763122082194,1.1375637138600043,46.514189476146505,0.47603814647492476,-0.1967949992651906,0.04970624324568528,3.5516000000000005,0.05579247261055925
10.0,49.10118488099133,0.6873968147062135,50.16562385573105,1.0770148772149537,45.982252519564,0.7686601788588602,-0.19411036241703566,0.04229424981423449,3.5296,0.09594164893308857
11.0,49.05076916088326,0.8082508899690924,50.38516675899986,1.2446533156989805,45.440007773022124,0.8164918345896812,-0.1756739134722714,0.07826158874583174,3.5924,0.10126598639227292
12.0,49.073083791683395,0.9051958676895949,50.409676938876736,1.3716255555938135,44.935826153203585,1.1941962132245492,-0.1792258089264393,0.023812971280481,3.6332,0.045488460075056476
13.0,48.829452529017864,1.009221094638603,50.87052937855878,1.396110597383095,44.78189918537894,1.4429074764513163,-0.16954979984038637,0.08001884766286256,3.6,0.06572670690061998
14.0,49.17869434622607,1.0706039552652973,50.701114319180704,1.7722288981261247,44.19639435448721,1.6388561629254315,-0.17178832735690758,0.028141338121982756,3.6672,0.08149355802761343
15.0,49.28509982037963,1.1670246161810052,50.82507544470952,1.6151889564498982,44.00764867823262,1.5764387113316365,-0.19048657129801017,0.04576400017454444,3.6716,0.08031687244906889
16.0,49.55481531187216,1.1017555045233043,50.76141663678498,1.4363178728809431,43.49710923175191,1.2934838856941622,-0.16631369332155543,0.041818874390836196,3.6756,0.16934225698271538
17.0,49.400825051115376,1.1803064999172235,50.57523494981004,1.3794466240143628,43.07992488667856,1.3581314516507619,-0.16125514877568212,0.05176106461978987,3.7147999999999994,0.12380306942883113
18.0,49.10594175685249,1.0805740469291085,50.55841581402496,1.6245751909057253,42.79336590083504,1.3052871994720752,-0.14483417127312243,0.02730015139148817,3.7592,0.11283261939705212
19.0,49.154928400735656,1.332239674879446,50.636189276678465,1.4893632511336692,42.988774704574155,1.4134295355535538,-0.13345515774261715,0.03293180057851227,3.8259999999999996,0.1336188609441048
20.0,49.3710958985117,1.331050320883991,50.84918245860971,1.5670444301493645,42.568340245641096,1.2585669840029436,-0.18102539897407027,0.03873075279084305,3.8316000000000003,0.12040265777797428
