MeanMale,MeanFemale,SDMale,SDFemale,cor,MeanCount,SDCount,is,int,BMale,GMale,BFemale,GFemale,BSperm,GSperm,GMF,GMS,GFS,a,MeanRSC,Generation,MeanMates,population,males,females,Rep
52.012194950600794,50.43302234204332,9.768831491396801,9.993556697494649,0.1382588559751729,49.45972382094258,9.759454261551229,1.132561436672968,0.8696194756640145,-0.20433533689004568,-0.04839100109519591,-0.2240063415690616,-0.06562530017603178,-0.22169345802002233,0.4415848155894363,-0.1144712783866243,-0.10987200877210884,0.2740235603488306,1.0,4.02,1.0,3.63,200.0,100.0,100.0,1.0
50.67425953095934,50.54227587254453,10.082504999299095,9.634345257201565,0.09008158521855689,48.938875948363936,9.919009704582527,1.0782943653139836,1.2466796406134264,-0.12258646907161895,-0.3047180396961751,0.0694642360156775,-0.15054025466455304,-0.1783845116768479,-0.04206911477407857,-0.013887993548053283,-0.08831238538619275,-0.036860970161158496,1.0,3.955825337262271,2.0,3.9895833333333335,384.0,192.0,192.0,1.0
49.867489489438654,50.97953031620313,10.23232184930286,9.987044430912034,0.15466720807307138,48.650516945934825,9.953339251355553,1.1607141321454062,1.182929688707987,-0.031815653121256775,-0.3471193647499098,0.002531587601049475,0.03223073424205081,-0.2734480300737129,-0.06525305175467805,0.030428694757839797,-0.12904885490176904,0.0007703027681901304,1.0,3.9941988079524635,3.0,4.1386666666666665,750.0,375.0,375.0,1.0
49.44768898116265,50.939212917279654,9.967646904689627,10.57499820424425,0.20892111502809108,48.091259866524105,10.10806746001854,1.0364530410799824,1.1385910343698733,-0.02443835755280456,-0.3003717074257478,-0.011477360659666112,0.03290124506336657,-0.16957483831273545,-0.0026633043691863556,-0.016718314432465912,-0.06354648099527628,0.04905631902448224,1.0,4.04330068698229,4.0,4.020949720670391,1432.0,716.0,716.0,1.0
49.586480499797226,50.90067715149421,9.775748494334213,10.64418873473034,0.21754165488768634,47.77681299145286,10.206948062865273,1.0202091885754212,1.1501484961443584,0.005252397791429753,-0.29432870731555183,-0.007113749092887348,0.026064254117889412,-0.21300146135226228,-0.046391387167789414,0.024155148619490804,-0.06093864298974898,0.013077849834709929,1.0,4.075377064942317,5.0,4.070289855072463,2760.0,1380.0,1380.0,1.0
49.61623739080234,50.899735461642024,9.795089938966338,10.653201416100886,0.20747823609748597,47.11402083695284,10.077813727478373,1.1784451275887569,1.1773683260231926,-0.018551145776834428,-0.2738509800572685,-0.009507162627982492,-1.1238662777915485e-5,-0.19950581963987374,-0.0840532802125366,-0.004360998205204692,-0.07223546052627013,-0.013457872948579953,1.0,4.117966911287382,6.0,4.153903903903904,5328.0,2664.0,2664.0,1.0
49.571150104739765,50.98151724216286,9.877041476830467,10.833547331456906,-0.01826218655698521,46.708253800148235,9.918937953502235,1.1051685806462397,1.1267055813757814,-0.02072106421571766,-0.2613922465251265,-0.008740363940237302,0.01625423484860986,-0.18082038553732727,-0.013309390254070004,-0.00821251257532972,-0.05397541414175478,0.014631133330027921,1.0,4.192486181501044,7.0,4.1772,10000.0,5000.0,5000.0,1.0
49.3698497425663,50.728582594475995,9.844853782490539,10.885614511163517,-0.009182785255878154,46.222945594951035,9.847627781271742,1.151510857044926,1.124534325923338,-0.015682074374213432,-0.24686525485208274,0.017946462846648886,-0.00358381742208026,-0.21947337068325712,-0.0005944771827045178,0.013277795590760652,-0.03924014840531648,-0.00826433290796211,1.0,4.240777032542805,8.0,4.2624,10000.0,5000.0,5000.0,1.0
49.605804502124236,50.73425508199702,9.759620172289313,10.68512031452646,-0.02741006248419925,45.724501844606074,9.90512695755902,1.0692984846536708,1.1428659282365465,-0.02359273880372221,-0.2903878062207768,0.01367058989584737,0.03139033459118313,-0.2255123937143025,-0.030599242465441108,-0.0030908876606110295,-0.03396600780644577,-0.013813409185601425,1.0,4.312105524416506,9.0,4.2702,10000.0,5000.0,5000.0,1.0
49.493524603663964,50.87851325792456,9.867140584714367,10.817445465726994,-0.0037393976991383403,45.13806227809556,9.872869161534245,1.095700979140825,1.1210168517221377,-0.019233700653949946,-0.26342408289167135,-0.0048066826220996665,0.02763756425226145,-0.19748669625873352,-0.008611086117457936,-0.006115158670682959,-0.04526081097165589,0.008751700885388585,1.0,4.3931471305029985,10.0,4.3294,10000.0,5000.0,5000.0,1.0
