Generation,Rep,MeanRSC,MeanMates,cor,MeanCount,MeanMale,MeanFemale,RSC_Mates_Diff,RSC_Mates_Ratio
1.0,1.0,2.18094719812587,1.94,0.0005810702542816,48.37898385647944,49.928045245680806,50.640815584935744,0.24094719812587018,0.8895217645191407
2.0,1.0,1.9767288486345689,1.955,0.8650956918195927,35.52726103557497,36.111038228110985,36.21903473244168,0.02172884863456881,0.9890076736373944
3.0,1.0,1.7318865034118391,1.65,0.8930714237308192,27.53114593666956,27.137435449999074,28.49166811428277,0.08188650341183923,0.9527183200224023
4.0,1.0,1.5473251906467436,1.56,0.8977809517569323,20.627276338127977,20.82755949486319,22.08761784448117,-0.012674809353256489,1.0081914321759078
5.0,1.0,1.3906026570618264,1.445,0.9049321515552536,13.536250340572089,13.67788295898044,15.057042793816027,-0.054397342938173665,1.0391178189268735
6.0,1.0,1.386064140633249,1.27,0.8874713840158545,10.976634366948156,11.072163663227348,12.285731719187714,0.11606414063324899,0.9162635139090872
7.0,1.0,1.2635870681508488,1.31,0.853541355533479,7.82420905543584,8.142310486549516,8.402446121978812,-0.046412931849151295,1.0367310912077254
8.0,1.0,1.2212832537208833,1.255,0.7854149194017126,5.827679266664428,6.391755460860112,6.538873682124973,-0.03371674627911658,1.0276076382578667
9.0,1.0,1.1403871202590752,1.19,0.7076835840849197,4.352325080958744,4.833414835738236,5.1242100779908535,-0.049612879740924765,1.0435052964555174
10.0,1.0,1.1266119440216054,1.05,0.6879285489881376,3.2127548578760434,3.7604484212522937,3.607233061644388,0.07661194402160532,0.9319979302295271
11.0,1.0,1.0867471070718775,1.025,0.673442898842288,2.415026610725216,2.883749110719016,2.9008703411521157,0.06174710707187758,0.9431817147981664
12.0,1.0,1.0512833087743505,1.1,0.6132808673848978,1.969441765282038,2.425549875282956,2.666307461521383,-0.04871669122564959,1.0463402118335223
13.0,1.0,1.036661610761641,1.165,0.737689446380266,1.8243641644147568,2.286583067761784,2.132879840061022,-0.12833838923835894,1.1237996930783112
14.0,1.0,1.0320040833843422,0.9,0.7537300095734714,1.5913109985249991,1.9382285114640097,1.950406695331833,0.13200408338434222,0.8720895725998975
15.0,1.0,1.0220481349438366,0.97,0.705263339325759,1.555788606480932,1.7314030804249645,1.8852456888335976,0.052048134943836644,0.9490746735263141
16.0,1.0,1.026905859939041,1.06,0.7747503369777723,1.5190504991762148,1.689157372708625,1.741217309370292,-0.03309414006095901,1.0322270437359502
17.0,1.0,1.0161289735249803,1.005,0.8752603296543692,1.5214386186420097,1.611672904929457,1.562619724121932,0.011128973524980434,0.9890476762153787
18.0,1.0,1.0139994192244544,1.015,0.8344185344994554,1.4967384186841288,1.683606161267819,1.5600422325697574,-0.0010005807755455454,1.0009867666160113
19.0,1.0,1.0145093239248648,0.915,0.7600179702790829,1.638877782012493,1.6497460399604729,1.5869576856523928,0.09950932392486478,0.9019138399439348
20.0,1.0,1.012331169256838,1.055,0.7978559896319393,1.4737291559889922,1.6547866140212302,1.574604887915791,-0.04266883074316197,1.0421490832634202
21.0,1.0,1.0073728941102924,0.855,0.8278189144629502,1.4862514593592824,1.7018068562060973,1.5865359176191327,0.15237289411029242,0.848742312800795
22.0,1.0,1.0058967372605825,1.025,0.7738052598083951,1.471266475504467,1.6393653381283977,1.621284580346194,-0.019103262739417426,1.0189912761735787
23.0,1.0,1.0073424195300689,1.11,0.8580244270734665,1.725834070722829,1.6618680220533566,1.542783325379243,-0.10265758046993123,1.1019093194921956
24.0,1.0,1.0047934291440574,1.07,0.8424095756432616,1.512237071560566,1.605253716776335,1.5013037384810708,-0.06520657085594261,1.0648954988802917
25.0,1.0,1.0074707608511126,0.95,0.8425982105343468,1.585756800031308,1.734273609204018,1.6115790618752828,0.05747076085111269,0.9429554056709682
26.0,1.0,1.005310826202652,1.185,0.8236341095216433,1.5113668278889432,1.6527835794861463,1.5182184841467077,-0.17968917379734806,1.1787399171618251
27.0,1.0,1.0078547783042604,1.02,0.8664143559197062,1.260217093125904,1.3983555179132745,1.413754564830556,-0.012145221695739616,1.0120505671622397
28.0,1.0,1.009340929097435,1.02,0.8220210493197306,1.1898080294958562,1.2949563878040198,1.367148489398769,-0.010659070902565126,1.0105604267054706
29.0,1.0,1.0032745209339802,1.055,0.8806277892162526,1.1213340220015982,1.2380271591850365,1.2858365823186428,-0.051725479066019764,1.0515566557175866
30.0,1.0,1.0103880165456205,0.975,0.8870339436414143,1.1219298505534403,1.2119989118991137,1.2357365650214125,0.035388016545620515,0.9649758152649045
31.0,1.0,1.0088240911235784,1.015,0.8671417127084508,1.125959032480367,1.1971512420268613,1.2788507788420431,-0.006175908876421499,1.0061218887720484
32.0,1.0,1.0015075980115824,1.02,0.8139582361266698,1.1039968390693742,1.2268646038978372,1.2444090425510448,-0.018492401988417617,1.0184645648471693
33.0,1.0,1.0050873714874968,1.07,0.9589436208967508,1.1326036475614545,1.1788763084208216,1.1772837898392376,-0.06491262851250323,1.0645840653797436
34.0,1.0,1.004277077140872,1.19,0.9325834540267356,1.1248480558919038,1.174506051648722,1.204928853333454,-0.18572292285912795,1.1849319546233914
35.0,1.0,1.0046076056632958,0.905,0.9957392835216948,1.1031832343313996,1.164045089280623,1.1419944489524143,0.09960760566329574,0.9008492419311026
36.0,1.0,1.0027199621581666,1.0,0.9876247772437914,1.0737854967169214,1.170922421629741,1.1514772461582496,0.002719962158166611,0.997287415967752
37.0,1.0,1.0013092279801146,1.015,0.8471226020089938,1.0841519158563266,1.1650520410246366,1.1777799551239811,-0.013690772019885333,1.0136728711144538
38.0,1.0,0.9997178248650226,0.915,0.828212906728032,1.0746691269382154,1.128397710275089,1.209734651413617,0.08471782486502255,0.9152582631239362
39.0,1.0,0.9999643080462656,1.125,0.9044102300340976,1.060567309047718,1.1022174979357369,1.1793599856874444,-0.12503569195373443,1.1250401548811575
40.0,1.0,1.0028677977527651,1.075,0.9128078908611028,1.0744575330541437,1.1423111957358594,1.1839624729225413,-0.07213220224723482,1.071925933217588
41.0,1.0,1.003651699229117,0.975,0.9698929503168556,1.1083886330052537,1.2002720563872322,1.1560119599164311,0.028651699229116923,0.9714525474812391
42.0,1.0,1.0014032367010175,1.085,0.8944631951366202,1.151252142603835,1.1994003063469727,1.221766767314298,-0.08359676329898247,1.0834796216301241
43.0,1.0,1.00337949557038,1.02,0.8496941282613442,1.1402265900951951,1.222678243885447,1.2322044965566643,-0.01662050442961993,1.0165645246917985
44.0,1.0,0.9995094822353492,1.015,0.925053219674989,1.1670564258492144,1.3474349604683382,1.2169556406765865,-0.015490517764650713,1.0154981198677646
45.0,1.0,1.0051870364369844,0.915,0.9233041978707272,1.0980653896495989,1.321534812214008,1.3401561350147708,0.09018703643698434,0.9102783530151125
46.0,1.0,1.0033186699928165,0.925,0.8739641398752013,1.0505256745510416,1.201268299666347,1.272422498900055,0.07831866999281645,0.9219403841120816
47.0,1.0,1.0038681478428826,1.04,0.823585090300814,1.0533177412377066,1.1685273866663182,1.2208976453914324,-0.03613185215711745,1.0359926273532614
48.0,1.0,1.0031534392783308,0.975,0.8855859372599773,1.1109329829843764,1.320442288808907,1.2710852086659934,0.028153439278330805,0.9719350618001326
49.0,1.0,1.0062778799087446,1.07,0.9233525235124498,1.105708163225512,1.239798561385208,1.21595932503021,-0.06372212009125544,1.0633245760078063
50.0,1.0,1.0015544890098047,1.07,0.920433015510901,1.0704594462197532,1.1239800899466637,1.1847966567275012,-0.06844551099019536,1.0683392783330885
51.0,1.0,1.0019710742118684,1.125,0.9612773814948172,1.160245478708117,1.2638165317420873,1.1978899589784,-0.12302892578813163,1.1227869036887157
52.0,1.0,1.0009222009699794,0.965,0.9342210395548344,1.078821560516486,1.1605896439133192,1.162859840286666,0.035922200969979445,0.9641108959965442
53.0,1.0,1.0004203334692403,1.04,0.8658355164057001,1.081133908636677,1.2911392839054927,1.1750499343348886,-0.03957966653075973,1.0395630368622217
54.0,1.0,1.0019215158607502,1.04,0.982790674209203,1.0680262319900558,1.2036417213683686,1.2356065960007698,-0.03807848413924986,1.0380054560526497
55.0,1.0,1.002266465574122,0.96,0.9363913370209818,1.1327108358661393,1.1596534461831676,1.2275063051238424,0.04226646557412206,0.957829113288839
56.0,1.0,1.000896782822836,1.06,0.9701766913037544,1.0613257651306245,1.1755408764287414,1.158710195659149,-0.05910321717716416,1.0590502619165933
57.0,1.0,1.003459260076154,1.055,0.9507762826488884,1.0820618452833746,1.1640486798325915,1.1852375020404842,-0.05154073992384589,1.051363061734997
58.0,1.0,1.0017751770295509,0.905,0.8946825855322305,1.0936513650459372,1.324875112641701,1.2104941083897416,0.09677517702955085,0.9033963116190329
59.0,1.0,1.0013161232917158,1.08,0.8512571928638539,1.105224410048419,1.1936814137966811,1.246214688063135,-0.07868387670828425,1.0785804551409996
60.0,1.0,1.0034506710619373,1.095,0.8613180080632555,1.1226321810140274,1.2376056295504534,1.2045340259869914,-0.09154932893806267,1.0912345086591824
61.0,1.0,1.0057515953484184,1.01,0.788643729874652,1.126258559228945,1.2242005398049185,1.279869271757628,-0.004248404651581605,1.004224109284271
62.0,1.0,1.0049061346894397,1.105,0.8975942413329009,1.1387762886104802,1.2785892143845574,1.3365490865288852,-0.1000938653105603,1.0996051888383522
63.0,1.0,1.0079468822644,0.9,0.8824868028597487,1.115171877992026,1.302355978566044,1.2105574850007583,0.10794688226439997,0.8929041954850913
64.0,1.0,1.003643754626952,1.03,0.857406297827383,1.107108709672229,1.287099971118674,1.2853116246544232,-0.026356245373047926,1.0262605583420825
65.0,1.0,1.002986462437782,1.0,0.9561252515005684,1.051837193820519,1.1945543109211536,1.1889580675659213,0.0029864624377820004,0.9970224299632885
66.0,1.0,1.0037674418436846,1.13,0.8450512340614122,1.1180898683228484,1.1876813484369102,1.2127964743914388,-0.1262325581563153,1.1257587693066193
67.0,1.0,1.005635347220237,0.925,0.9013745963075852,1.0563141242796583,1.1919153741771218,1.219947284212792,0.08063534722023702,0.9198165145615376
68.0,1.0,1.001698494628194,1.015,0.8030019033807819,1.079738192281028,1.2723488120364776,1.235099584888561,-0.013301505371805966,1.0132789511446187
